iter	Logloss
0	0.6367115567
1	0.5915561275
2	0.5568341242
3	0.5302514521
4	0.5098383078
5	0.4946449174
6	0.4821331587
7	0.4727536534
8	0.4650952835
9	0.4591401121
10	0.4552188852
11	0.4512378923
12	0.4482952649
13	0.4458774376
14	0.4439995356
15	0.4420731211
16	0.4405740968
17	0.4394855191
18	0.4384402315
19	0.4374864633
20	0.4370011232
21	0.4362907198
22	0.4357521694
23	0.435233657
24	0.4348825149
25	0.4344906413
26	0.4341417725
27	0.4337224968
28	0.4334455524
29	0.4330979536
30	0.4326206808
31	0.4322584483
32	0.4320035655
33	0.4316002019
34	0.431382854
35	0.431156084
36	0.4309755698
37	0.4308229551
38	0.4306244916
39	0.4303995729
40	0.4302309958
41	0.4300143413
42	0.4298962263
43	0.429759238
44	0.4295137861
45	0.4293767307
46	0.4291496353
47	0.4289310295
48	0.4287712263
49	0.4286515545
50	0.4284689182
51	0.4283468359
52	0.4282094679
53	0.4280715941
54	0.4279418436
55	0.4278700249
56	0.4277748063
57	0.4276804869
58	0.4275578334
59	0.4273544195
60	0.4272470729
61	0.427101338
62	0.4270247197
63	0.4268931762
64	0.4267323533
65	0.4266412885
66	0.4265636999
67	0.4264803764
68	0.4262902989
69	0.4261589099
70	0.426084936
71	0.426042107
72	0.4258914613
73	0.425744056
74	0.4256493949
75	0.425565773
76	0.4254981212
77	0.4253690191
78	0.4252729479
79	0.4252003688
80	0.4250672413
81	0.4248399023
82	0.4247156486
83	0.4246734955
84	0.4245725215
85	0.4244313106
86	0.4243126585
87	0.4241878851
88	0.4240940217
89	0.4239933455
90	0.4237969502
91	0.4237376259
92	0.4236579615
93	0.4235744536
94	0.423510187
95	0.423353777
96	0.4232202811
97	0.4230816613
98	0.4229352642
99	0.4228347312
100	0.4226948285
101	0.4225883497
102	0.4225420312
103	0.4224052886
104	0.4223127171
105	0.422236268
106	0.4221284874
107	0.4220223442
108	0.4219284539
109	0.4218191566
110	0.4217404838
111	0.4216570851
112	0.421530951
113	0.4214131541
114	0.4213407669
115	0.4212447217
116	0.4211274623
117	0.4209818277
118	0.4208727793
119	0.420780188
120	0.4206401472
121	0.4205011274
122	0.4204476179
123	0.4203404812
124	0.4202096689
125	0.4201510898
126	0.4200608808
127	0.4199940072
128	0.4198831896
129	0.4197638984
130	0.4196769974
131	0.4195896411
132	0.4194930542
133	0.4193900832
134	0.4193288073
135	0.419241445
136	0.4191324176
137	0.4190389503
138	0.4189147682
139	0.4188581902
140	0.41872047
141	0.418641184
142	0.4185730526
143	0.4184766174
144	0.4183250402
145	0.418245893
146	0.4181616396
147	0.4180899032
148	0.4179921961
149	0.4179039955
150	0.4178264293
151	0.4177719748
152	0.4176545595
153	0.4175509944
154	0.4174463598
155	0.4173370142
156	0.4172518147
157	0.4171844335
158	0.4171161658
159	0.4170180656
160	0.4169566372
161	0.4168992842
162	0.4168519784
163	0.4167591146
164	0.4166524557
165	0.4165473616
166	0.416430847
167	0.4163438958
168	0.4163108066
169	0.4162232982
170	0.416158129
171	0.416077207
172	0.4159725987
173	0.4159342236
174	0.4158364204
175	0.4157773363
176	0.41577117
177	0.4156010688
178	0.4155233925
179	0.415392445
180	0.4153402924
181	0.4152854661
182	0.415194578
183	0.4151307519
184	0.4150566443
185	0.4149628773
186	0.4148302062
187	0.4147596948
188	0.4147053347
189	0.4146219676
190	0.4145167242
191	0.4144740027
192	0.4143646955
193	0.4142825235
194	0.4141937551
195	0.4141044002
196	0.4140119555
197	0.4139168874
198	0.4138810357
199	0.4138014871
200	0.4137117146
201	0.413663626
202	0.4135905984
203	0.4135674702
204	0.4134993095
205	0.4134175706
206	0.413317643
207	0.4132186951
208	0.4131521129
209	0.4130855349
210	0.4129903953
211	0.4128743239
212	0.4128370151
213	0.4128320443
214	0.4127378104
215	0.4126708669
216	0.4126057123
217	0.4125463652
218	0.4124803008
219	0.4123994686
220	0.4123394388
221	0.4122486077
222	0.4121347902
223	0.4120081881
224	0.4119612079
225	0.4118807115
226	0.4118123913
227	0.4117712791
228	0.4117246013
229	0.4116527086
230	0.4116480638
231	0.4116146292
232	0.4115456831
233	0.4114509967
234	0.4114007343
235	0.4113270118
236	0.4112389834
237	0.4111950967
238	0.4111098925
239	0.411035987
240	0.4109239099
241	0.4108461864
242	0.4107950345
243	0.4107568429
244	0.4106417763
245	0.4105855848
246	0.4105409708
247	0.4104755774
248	0.4104060792
249	0.4103430598
250	0.4102489897
251	0.4101681094
252	0.4100935777
253	0.4099765663
254	0.4098801614
255	0.409795402
256	0.4097220539
257	0.4096031716
258	0.409538827
259	0.409468584
260	0.4094307781
261	0.4093612639
262	0.4093058992
263	0.4092336358
264	0.409194044
265	0.4091566966
266	0.4091150489
267	0.4090622678
268	0.4089837127
269	0.4088972911
270	0.4087994818
271	0.4086985213
272	0.4086668862
273	0.4085814216
274	0.4084827675
275	0.4084047857
276	0.4083158731
277	0.4082184951
278	0.4081265894
279	0.4080563364
280	0.4080101497
281	0.4079455375
282	0.4078344522
283	0.4077679598
284	0.4076798605
285	0.4076181733
286	0.4075652447
287	0.4075584687
288	0.4075245219
289	0.4074859059
290	0.4074166129
291	0.407337155
292	0.407244143
293	0.4071553119
294	0.4070333591
295	0.4069506966
296	0.4069122393
297	0.4068372509
298	0.4067954001
299	0.4067319305
